ImageID,JarID,MaxFeretDiamPix,MaxFeretDiamum,MorphNotes,PerimeterPix,Perimeterum,SurfaceAreaPix2,SurfaceAreaum2
11,J083_B1,554.9099026,62.4898539,,1732.426,195.093018,209928,2662.223034
13,J083_B1,474.4185915,53.42551706,,1499.994,168.9182432,159242,2019.44343
14,J083_B1,579.2408825,65.22982911,,1806.946,203.4849099,230458,2922.576293
1,J084_B1,707.4072377,79.66297722,,2191.378,246.7768018,338831,4296.919386
2,J084_B1,675.1607216,76.03161279,,2127.558,239.5898649,311131,3945.639051
3,J084_B1,705.7619995,79.47770265,,2142.856,241.3126126,321911,4082.346705
4,J084_B1,671.0961183,75.5738872,,2133.532,240.2626126,311932,3955.797013
5,J084_B1,668.5843253,75.29102762,,2057.748,231.7283784,297099,3767.690833
6,J084_B1,668.0905627,75.23542373,,2009.392,226.2828829,274959,3486.920197
7,J084_B1,664.5359283,74.83512706,,2030.704,228.6828829,281233,3566.484559
8,J084_B1,691.3645927,77.85637305,,2177.9,245.259009,331529,4204.318339
9,J084_B1,663.081443,74.67133367,,2110.13,237.6272523,310270,3934.720193
10,J084_B1,686.9133861,77.35511105,,2145.328,241.590991,318917,4044.377993
1,J085_B1,617.9595456,69.59003892,,1914.22,215.5653153,255546,3240.732286
2,J085_B1,573.0802736,64.53606685,,1767.788,199.0752252,217388,2756.827774
4,J085_B1,597.9715712,67.3391409,,1887.916,212.6031532,251276,3186.581852
6,J085_B1,565.946994,63.73276959,,1752.12,197.3108108,211358,2680.357723
8,J085_B1,575.3468519,64.79131215,,1817.966,204.7259009,228192,2893.839786
9,J085_B1,597.3005943,67.26358044,,1862.642,209.756982,242035,3069.391182
10,J085_B1,514.347159,57.92197736,,1641.446,184.8475225,189689,2405.560121
11,J085_B1,554.8206918,62.47980764,,1707.202,192.2524775,201228,2551.893109
12,J085_B1,542.706182,61.11556104,,1756.566,197.8114865,214713,2722.904492
13,J085_B1,616.1046989,69.38115979,,1886.336,212.4252252,245006,3107.068217
1,J086_B1,679.9654403,76.57268472,,2143.048,241.3342342,319088,4046.546547
2,J086_B1,696.608929,78.44695146,,2192.908,246.9490991,333867,4233.967921
3,J086_B1,682.3019859,76.83580922,,2134.068,240.322973,319340,4049.74231
4,J086_B1,703.6597189,79.24095934,,2200.016,247.7495495,332453,4216.036137
5,J086_B1,712.4324529,80.22887983,,2269.302,255.552027,354903,4500.738069
6,J086_B1,689.637586,77.66189032,,2173.188,244.7283784,322736,4092.809025
7,J086_B1,655.7507148,73.84580122,,2072.768,233.4198198,292465,3708.924296
8,J086_B1,691.0723551,77.82346341,,2176.206,245.0682432,326326,4138.335971
9,J086_B1,618.2556106,69.62337957,,1924.96,216.7747748,255470,3239.768485
10,J086_B1,705.1219753,79.40562785,,2222.168,250.2441441,339038,4299.544477
1,J087_B1,547.7271218,61.68098218,,1726.374,194.4114865,208925,2649.503389
2,J087_B1,564.7317947,63.59592283,,1756.578,197.8128378,215221,2729.346745
3,J087_B1,600.6163501,67.63697636,,1864.144,209.9261261,238672,3026.742959
4,J087_B1,548.0912333,61.72198573,,1760.132,198.2130631,217580,2759.262641
6,J087_B1,552.9348967,62.26744332,,1727.662,194.5565315,210180,2665.418797
8,J087_B1,613.1859424,69.05247099,,1893.444,213.2256757,245550,3113.967008
9,J087_B1,582.480901,65.59469606,,1810.616,203.8981982,228807,2901.63897
11,J087_B1,546.4686633,61.53926389,,1730.586,194.8858108,209211,2653.130326
12,J087_B1,587.8996513,66.20491569,,1823.1,205.3040541,232769,2951.883471
14,J087_B1,608.0304269,68.47189492,,1885.456,212.3261261,249209,3160.368984
1,J088_B1,671.0625902,75.57011151,,2079.022,234.1240991,299153,3793.73884
