EggImageID,FemaleID,EggAreaPix2,EggAreaum2,EggCompactness,EggDiamum,EggEccentricity,EggExtent,EggFormFactor,EggMajorAxisLengthPix,EggMaxFeretDiameterPix,EggMaxRadiusPix,EggMeanRadiusPix,EggMedianRadiusPix,EggMinFeretDiameterPix,EggMinorAxisLengthPix,EggMorphNotes,EggObjectNumber,EggPerimeterPix,EggSolidity
CF02_B1_eggs_-0025_outline,CF02_B1,84477,1068.414011,1.000634075,37.23007706,0.168707169,0.797374084,0.90145652,329.6957412,331.0498452,160.449369,54.57521468,48.01041554,321.3375141,324.9699539,NA,1,1085.18,0.993309503
EF04_B3_eggs-0011_outline,EF04_B3,85633,1083.034399,1.00078232,37.52142657,0.092298879,0.779246897,0.900173553,330.3014448,333.6405251,160.4306704,54.88320459,48.27007354,327.2184269,328.8915028,NA,1,1093.358,0.993468374
CF04_B3_eggs-0004_outline,CF04_B3,86506,1094.075576,1.003736386,39.19991366,0.369135846,0.790030777,0.899117912,343.674802,348.5656323,159.0220111,54.95304161,48.38388161,319.0700588,319.4029237,NA,1,1099.562,0.992980744
CF05_B3_eggs-0013_outline,CF05_B3,87377,1105.091457,1.002455108,39.14211879,0.234301955,0.802389436,0.889891002,337.88317,348.0517203,160.5552864,55.06169597,48.50773134,325.2122087,328.4778108,NA,1,1110.798,0.992683564
EF08_B2_eggs-0005_outline,EF08_B2,88028,1113.324911,1.000817777,38.49375054,0.215222096,0.784416464,0.896398445,338.1175395,342.2864298,164.2832919,55.69591785,49.03060269,330.3239669,330.1937982,NA,1,1110.874,0.993846883
CF08_B2_eggs-0019_outline,CF08_B2,88407,1118.118274,1.00036913,38.11553027,0.155207361,0.773850477,0.896963699,336.8573392,338.9232952,164.5964763,55.90026399,49.1934955,331.7261521,332.7752728,NA,1,1112.912,0.993934556
CF04_B3_eggs-0012_outline,CF04_B3,89144,1127.439404,1.004046555,39.78135145,0.274846147,0.783105223,0.877222448,343.3792349,353.7357771,162.3083485,55.01537575,48.46648326,328,330.155089,NA,1,1130.046,0.985261529
CF08_B2_eggs-0010_outline,CF08_B2,93462,1182.050857,1.000550622,39.58247054,0.195715155,0.780756347,0.906159826,347.6354595,351.967328,168.6001186,57.47032345,50.56678752,337.9970414,340.9124631,NA,1,1138.466,0.994488189
CF05_B3_eggs-0016_outline,CF05_B3,94145,1190.689028,1.002584434,40.98877881,0.292778806,0.809661412,0.892355855,353.5562665,364.4722212,167.3349934,56.98022622,50.15974482,338,338.0635009,NA,1,1151.422,0.990254703
EF04_B3_eggs-0002_outline,EF04_B3,94608,1196.544772,1.000903954,39.94807049,0.223726684,0.794858223,0.8882538,350.8737301,355.2182428,167.9672587,57.37603478,50.48762225,341.6049959,341.9797557,NA,1,1156.912,0.992270177
CF06_B2_eggs-0001_outline,CF06_B2,94775,1198.656887,1.004401613,40.56135805,0.264360916,0.775890299,0.873186906,353.5989176,360.6715958,160.5147968,56.34093115,50,336.6221618,341.0192191,NA,1,1167.88,0.987239583
EF02_B3_eggs-0023_outline,EF02_B3,96135,1215.857345,1.001564856,40.36475373,0.281872173,0.782730826,0.893300734,356.507575,358.9233902,169.8528775,57.92865873,50.99019514,342.7197461,342.0518943,NA,1,1162.912,0.992658447
CF03_B3_eggs-0012_outline,CF03_B3,96580,1221.485436,1.002154932,40.60872536,0.278139767,0.788433908,0.891507638,357.2423912,361.0927859,169.649639,58.20365033,51.2445119,339.9300274,343.1458256,NA,1,1166.772,0.99402535
CF06_B2_eggs-0002_outline,CF06_B2,97094,1227.986197,1.038359158,44.86221074,0.635365894,0.784978575,0.86148362,400.1370826,398.9147779,153.3101432,56.07714413,50.15974482,308.3512232,308.9903481,NA,1,1190.084,0.9906338
EF06_B1_eggs-0025_outline,EF06_B1,97811,1237.054379,1.002176424,41.23503933,0.28754563,0.809988738,0.90021465,360.0136085,366.6619697,169.070991,58.33802464,51.4781507,342.1057895,344.809132,NA,1,1168.492,0.993176487
CF02_B3_eggs-0003_outline,CF02_B3,100749,1274.212426,1.001526574,41.67800984,0.31034981,0.777768342,0.900572228,366.566354,370.6008635,173.8763929,59.52058228,52.34500931,349.5834328,348.4661965,NA,1,1185.676,0.993310493
